Time,Node 159.65.60.19,Node 138.68.173.232,Node 159.65.60.26,Node 138.68.191.108,Node 192.5.86.169,Node 129.114.108.212
1/3/21 22:00,12076211888,13817042570,15275.14514,50112490.32,103831012.9,1111097.403
1/3/21 23:00,13904389812,6697924305,84976653.03,45378624.53,84018488.28,927943.8675
1/4/21 0:00,12937598396,3862292366,23246890.09,28146689.57,68185562.03,883640.0783
1/4/21 1:00,14423532109,759798173.8,196559.8646,101293842.3,14450126.67,839305.2704
1/4/21 2:00,18394368159,1375923597,82782287.42,230693036.6,19665297.87,855648.5521
1/4/21 3:00,19769140989,918347041.9,119612814.2,286081436.9,13082720.57,884598.814
1/4/21 4:00,20252888989,1216710938,53786238.97,102983298,9339921.567,2329566.951
1/4/21 5:00,17429120153,1034058821,35849422.31,54026039.51,13097036.44,2243968.712
1/4/21 6:00,15238176730,447885198.4,75689899.37,48694367.37,49333380.02,817559.5918
1/4/21 7:00,12973128848,575655304.2,82780449.15,53324960.93,13998328.22,833088.3153
1/4/21 8:00,12377825763,1266338350,198004.7777,70260573.92,13832104.76,820052.5086
1/4/21 9:00,11937240529,1827207402,47537937.26,57142386.11,51818143.41,884051.6637
1/4/21 10:00,12589284361,4903294697,16292.42687,54828306.12,7922460.047,863243.32
1/4/21 11:00,12867008434,7503133648,171594001.1,47224032.28,54147597.45,842434.8174
1/4/21 12:00,14257682054,6232995333,111128.2084,60642501.28,50473822.49,877597.4014
1/4/21 13:00,13047184175,11913737779,15504.32479,48132021.2,19586969.12,918656.4919
1/4/21 14:00,19841255766,3193906314,15515.09413,73794365.85,40815724.21,3868900.562
1/4/21 15:00,22660530552,11721705070,37659206.64,32266548.94,47424460.9,7033822.165
1/4/21 16:00,22563023187,7804973472,107189.6809,27413031.74,56313425.46,6795101.715
1/4/21 17:00,9046195250,1554353121,15476.9766,24257416.94,60066345.59,6886949.078
1/4/21 18:00,8320171175,1014734333,65352.6309,40433508.14,54673263.38,6714926.601
1/4/21 19:00,9549849049,701401736.2,50284100.75,24427492.43,92058433.04,6860624.81
1/4/21 20:00,8685642606,5879411342,37640800.22,29211550.94,59714547.51,6857107.408
1/4/21 21:00,9405122557,5956009999,37699299.5,30073180.09,136445823.9,6746309.46
1/4/21 22:00,11259022414,1588824974,15286.13306,13858261.72,82539221.97,6803990.228
1/4/21 23:00,19453481629,2114582492,80933963.58,5304210.281,49748923.28,6813821.085
1/5/21 0:00,14044204520,2772624415,44428.22429,83115509.08,70272169.99,6620737.051
1/5/21 1:00,17057476575,3670959039,115151.5567,215154527.5,11855651.4,6728661.243
1/5/21 2:00,17380431016,13039059399,51213588.62,161757257.8,17065848.74,6738226.389
1/5/21 3:00,23801839145,14881283143,38117168.8,165806940.4,28559713.06,6703180.566
1/5/21 4:00,11301325063,15476547546,53359.54139,47584245.91,64854227.36,8426435.469
1/5/21 5:00,9466593626,7922312961,46622247.5,60408697.81,14004036.04,8025213.445
1/5/21 6:00,8619336314,7658511834,43037218.66,54798420.7,12439439.95,6695615.05
1/5/21 7:00,8873788381,7077084772,15163.28556,58186102.99,51874826.69,6707837.681
1/5/21 8:00,8685837659,9442753264,38196471.93,64865599.41,8462539.454,6697551.038
1/5/21 9:00,8861350703,9737951924,37231060.83,64323176.24,13605805.16,6767269.071
1/5/21 10:00,9700215831,12199153151,42120823.38,32024573.23,152051224.7,6777045.692
1/5/21 11:00,8717096713,11301184832,44838654.11,26782962.52,14579998.03,6663961.847
1/5/21 12:00,8433880031,11380603131,131267.0891,4418632.242,9399354.081,6738950.873
1/5/21 13:00,8310552459,11902392924,36914991.67,17845335.58,47588505.95,6763766.699
1/5/21 14:00,11723196404,11153886715,44720.59951,21450358.53,7003907.463,6805559.255
1/5/21 15:00,17689470152,9320047422,15230.72753,11757908.63,11404324.54,7034484.582
1/5/21 16:00,14504203107,10270334565,15708.65184,18514950.07,55759921.95,6808830.677
1/5/21 17:00,15403634310,11651471159,19599711.23,18617479.85,16310174.74,6784583.157
1/5/21 18:00,15568671969,11327939309,43109258.02,18484729.96,12246905.98,6769283.279
1/5/21 19:00,14665047417,10695340227,43064470.06,5961171.062,19272347.82,6746575.121
1/5/21 20:00,13230093506,8581384120,43192970.48,16786013.1,11858344.77,6695829.65
1/5/21 21:00,14768094251,5329708023,37752414.42,21817549.42,54758316.97,6764113.092
1/5/21 22:00,12788469561,5580532040,56171.51146,24118633.19,52689283.3,6650938.295
1/5/21 23:00,10163713497,3035262264,22584094.64,18363822.24,6680544.19,6328119.096
1/6/21 0:00,14844456178,4084780873,14785.61907,29769698.18,6719760.6,2893499.965
1/6/21 1:00,17800112222,2382636488,43178995.01,48550272.72,7584875.141,794767.0614
1/6/21 2:00,15604283043,2800724422,37556297.53,61861138.25,7569745.366,797078.1299
1/6/21 3:00,10817335015,6494783412,48562883.64,47840074.7,51111304.36,790806.7989
1/6/21 4:00,12147571934,7645531583,14623.18757,59264099.19,18168503.72,2308743.011
1/6/21 5:00,13121150896,6238094123,14779.52698,64773538.72,11662471.23,2138034.331
1/6/21 6:00,11601809808,5786623683,61839.93333,55490960.87,14501224.21,782138.7651
1/6/21 7:00,11201568938,6311032950,78955611.73,119519246,9089123.87,788499.747
1/6/21 8:00,10703818095,13118841837,38103771.26,178888978.2,8271068.11,788303.2356
1/6/21 9:00,11724203714,2014751761,38143594.48,203054554.6,50993679.97,795627.357
1/6/21 10:00,11242828862,1798851913,43408.30434,134337225.6,13630128.12,804166.6694
1/6/21 11:00,10642638851,1694979643,134388.3058,193626326.6,95605321.48,794706.5612
1/6/21 12:00,13578307552,1999459755,68965899.71,194960104.3,7723140.802,787893.3801
1/6/21 13:00,14645174223,1635904050,14734.59292,112787191.5,6052543.076,783002.6699
1/6/21 14:00,17419308635,1898101222,14772852.21,78773886.08,47832155.22,792024.2401
1/6/21 15:00,17321755531,2611770088,15243.63372,75519474.42,5452019.109,899322.5944
1/6/21 16:00,16740072964,2171930336,37244850.61,70168384.41,45263257.96,789786.8365
1/6/21 17:00,19983125689,2454245995,55546.80174,216291699.1,6343022.928,789359.9646
1/6/21 18:00,14463600593,4958115328,43637109.81,184696847.1,16024719.09,794858.822
1/6/21 19:00,10813710890,1224184691,44577482.65,212787365.3,33746234.42,794437.1612
1/6/21 20:00,12954309921,8383164562,15335.61875,115714911.8,10428572.48,796218.7286
1/6/21 21:00,12262574223,7253909092,27171.36222,134673178.5,9863181.458,788469.0475
1/6/21 22:00,12407410974,6727261729,36912360.44,133730316.4,7876561.911,780218.2336
1/6/21 23:00,10084741237,8117100261,99426.56066,120622354.1,44473240.61,793446.1232
1/7/21 0:00,17571346620,7057392005,14634.03351,102451939.3,17218347.22,779055.5862
1/7/21 1:00,18114376177,8637488141,42811347.48,103311693.4,6548936.843,787787.9622
1/7/21 2:00,20581097339,9162235985,38593631.18,115819548.6,11434446.02,786827.4115
1/7/21 3:00,20065427512,5730392408,81107625.85,125638042.5,44293111.62,782292.1925
1/7/21 4:00,19163024798,3627502212,37604742.25,105870682.9,7153873.822,791858.8551
1/7/21 5:00,18406447265,2069878517,14785.33438,71575595.64,14406580.63,799710.1325
1/7/21 6:00,19090402325,2170421551,45960313.74,142914505.7,89733831.18,792864.6021
1/7/21 7:00,17883319526,2870193263,67523299.52,110792938,5648942.988,799977.7806
1/7/21 8:00,18328823225,6667119945,42182254.84,61660253.89,4467868.45,784379.2292
1/7/21 9:00,9854884432,2540266902,57984.2117,77413811.83,45498406.97,795003.5925
1/7/21 10:00,9095645250,2276549928,139608.5086,56183206.18,45802571.02,795022.0748
1/7/21 11:00,10232352762,3576641279,35970495.63,39418602.17,8769682.429,791264.5545
1/7/21 12:00,9320810711,6740761531,14928.35802,42133980.9,4169025.025,788470.0235
1/7/21 13:00,9945246182,5833479919,15397.27993,49697256.4,3336432.759,792408.3614
1/7/21 14:00,8662066869,7056665137,35402501.57,63329848.85,3943150.981,784792.475
1/7/21 15:00,9076935925,8696586209,39318312.78,42992546.18,26081585.64,789050.948
1/7/21 16:00,8578232744,8995607300,15166.79069,63201997.32,5718995.707,785750.2782
1/7/21 17:00,9063212999,8447605537,36984948.08,53353995.38,6515869.782,780158.4707
1/7/21 18:00,10120527432,10429074307,74102884.57,42626766.11,12807427.71,790124.4485
1/7/21 19:00,11763415745,3804991752,57149.6574,56729125.7,6422930.416,786678.656
1/7/21 20:00,10321184069,6701332443,37634282.07,53161799.15,53309791.45,782605.7355
1/7/21 21:00,10063515050,8151181103,14736.59146,56153245.14,7419924.746,781619.2702
1/7/21 22:00,9757821021,13195058988,37455640.36,74036392.18,88342123.23,794771.9512
1/7/21 23:00,15575363806,10050448578,51174993.83,73236679.29,6891595.003,787510.1435
1/8/21 0:00,17061219711,9372925079,84469249.8,112693102.9,10823284.41,773884.9776
1/8/21 1:00,17924122309,6120187559,14594.71465,95455541.42,5788826.487,778142.1704
1/8/21 2:00,18300068411,3630825158,82876.37868,87269643.76,9659472.233,777466.276
1/8/21 3:00,18134142598,10046590495,53677563.61,88749195.22,14445236.42,786172.7611
1/8/21 4:00,16468345761,6714960598,65631.60514,87660147.46,53394350.46,786694.575
1/8/21 5:00,20217933736,10404002877,53395.59319,75953306.79,11352945.32,777787.5579
1/8/21 6:00,20318928265,13421699462,14855.83188,71959840.62,16647321.42,778234.2158
1/8/21 7:00,20929423589,14496422069,37190445.97,56154020.54,43084846.36,780501.2326
1/8/21 8:00,11773898184,17012255319,50450.27333,35755458.45,11322861.33,767757.7911
1/8/21 9:00,12687573550,28684908449,43080544.38,28975565.08,12247254.17,821898.1087
1/8/21 10:00,12193721910,26776130831,85464468.75,34067317.61,48843579.36,828692.0774
1/8/21 11:00,10601615982,18483330944,15673.99535,25905362.64,7587504.296,779762.6401
1/8/21 12:00,9598548393,15991586913,49242.0059,39810071.37,9057824.637,812963.509
1/8/21 13:00,8972308780,17954197214,63943231.72,28545589.37,58431617.07,850080.2277
1/8/21 14:00,8319644907,11962831497,61971.7417,34023235.87,45771146.77,1109467.553
1/8/21 15:00,10157227560,12185715873,59340.81688,40236306.6,60912266.76,2644043.288
1/8/21 16:00,10944768920,12652739540,73987901.59,55866772.73,44440165.03,1684752.409
1/8/21 17:00,13927707954,13361037388,50633.62497,41677845.44,129998048.9,1449933.602
1/8/21 18:00,12384338322,10889302085,65772.9009,31062561.08,61787460.6,1346835.081
1/8/21 19:00,13836120426,11419389996,71918183.39,35347102.13,81922955.78,1413853.396
